TERYT;Wojewodztwo;Powiat;pow;typ;TOT;mlodzi;sredni;starsi;Przemysl;DPS;szkoly;X;Y
2402;śląskie;bielski;456,5;ziemski;156072;24999;110848;20210;21;5;68;502818;225598
2819;warmińsko-mazurskie;węgorzewski;690,2;ziemski;23838;3468;17178;3179;2;1;14;681154;708345
2414;śląskie;bieruńsko-lędziński;157,6;ziemski;57232;8918;41733;6576;13;1;30;510211;247344
3211;zachodniopomorskie;policki;661,7;ziemski;71390;12260;53680;5421;4;4;31;198675;639059
216;dolnośląskie;polkowicki;776,8;ziemski;63089;10503;46095;6478;33;0;27;292902;407921
2467;śląskie;Jastrzębie-Zdrój;85,1;grodzki;92861;14170;67006;11687;15;3;43;471357;232669
1217;małopolskie;tatrzański;470,1;ziemski;66629;10893;46572;9145;4;2;22;570810;160007
1211;małopolskie;nowotarski;1470,3;ziemski;188054;34700;130498;22792;20;1;86;577625;181255
212;dolnośląskie;lwówecki;707,1;ziemski;48783;7056;35682;6072;16;4;27;256115;355620
1408;mazowieckie;legionowski;389,3;ziemski;108305;19099;77517;11695;17;6;45;632033;511321
2813;warmińsko-mazurskie;olecki;869,8;ziemski;35093;5904;25020;4144;7;2;22;723596;692831
1016;łódzkie;tomaszowski;1020,2;ziemski;121124;18432;85004;17635;16;1;66;573846;415004
2014;podlaskie;zambrowski;730,1;ziemski;45573;7408;31782;6348;11;3;28;720247;578064
2401;śląskie;będziński;363;ziemski;154244;19978;110551;23714;18;3;82;509391;283142
3207;zachodniopomorskie;kamieński;1003,2;ziemski;48372;7097;35745;5539;13;2;26;220582;680276
1423;mazowieckie;przysuski;798,5;ziemski;43490;6657;29845;6976;16;2;41;614754;396521
1419;mazowieckie;płocki;1789,5;ziemski;110919;18411;78055;14353;25;4;68;553253;521273
1424;mazowieckie;pułtuski;823,9;ziemski;51257;8591;35994;6653;17;2;38;636811;535962
1428;mazowieckie;sochaczewski;732;ziemski;85346;13489;60553;11343;4;3;47;582777;489676
601;lubelskie;bialski;2743,7;ziemski;114117;19438;77566;16995;30;2;69;785156;464348
606;lubelskie;krasnostawski;1027,7;ziemski;67559;9359;46286;11928;17;11;50;789070;352138
620;lubelskie;zamojski;1863,7;ziemski;112589;17510;76848;18224;4;3;82;797403;322321
1216;małopolskie;tarnowski;1407,1;ziemski;198071;35026;137179;25843;35;10;162;644345;237300
1001;łódzkie;bełchatowski;964;ziemski;112741;17045;84249;11420;23;3;57;512381;389141
